"title","year","duration_mins","imdb_rating","metascore","pg_rating","user_reviews_clean","critic_reviews_clean","budget_clean","gross_world_clean","gross_us_clean","opening_weekend_clean","sentiment_score","Genre_Adventure","Genre_Family","Genre_Fantasy","Genre_Comedy","Genre_Biography","Genre_Drama","Genre_History","Genre_Animation","Genre_Action","Genre_SciFi","Genre_Music","Genre_Musical","Genre_Romance","Genre_Horror","Genre_Thriller","Genre_Crime","Genre_Documentary","Genre_News","Genre_TalkShow","Genre_Mystery","Genre_Short","Genre_GameShow","Genre_RealityTV","Genre_Western","Genre_Sport","Genre_War","Genre_FilmNoir","Genre_Adult"
"Μόνος στο σπίτι 3",1997,102,4.6,NA,"NA",292,32,3.2e+07,79082515,30882515,5085482,-5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Στραβοί πιλότοι σε F-16: Μέρος δεύτερο",1993,86,6.6,64,"NA",134,37,2.5e+07,133752825,38922972,10250661,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο μπάτσος του Μπέβερλι Χιλς",1984,105,7.4,66,"R",337,103,1.3e+07,316360478,234760478,15214805,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ο μπάτσος του Beverly Hills ΙΙ",1987,103,6.6,46,"R",198,67,2.7e+07,299965036,153665036,26348555,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Πολυθρόνα για δύο",1983,116,7.5,69,"R",294,122,1.5e+07,90404800,90404800,7348200,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο πρίγκιπας της Ζαμούντα",1988,117,7.1,47,"NA",284,102,3e+07,288752301,128152301,21404420,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Το χρυσό παιδί",1986,94,6,37,"PG-13",125,44,2.5e+07,79817937,79817937,11549711,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο μπάτσος του Μπέβερλι Χιλς 3",1994,104,5.5,16,"R",231,69,5e+07,119208989,42614912,12426169,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Δάσκαλος για κλάματα",1996,95,5.7,64,"NA",160,45,5.4e+07,273961019,128814019,25411725,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Οι νύχτες του Χάρλεμ",1989,116,6.1,16,"R",100,34,3e+07,60864870,60864870,16096808,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Καταδίωξη στο Σαν Φρανσίσκο",1997,117,5.6,41,"R",81,39,5.5e+07,32000301,32000301,11411107,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Μπούμερανγκ",1992,117,5.6,45,"R",82,31,4.2e+07,131052444,70052444,13640706,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Χριστούγεννα με το... ζόρι!",2004,99,5.5,22,"NA",371,110,6e+07,96593018,73780539,21570867,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Χριστούγεννα στην πρίζα",2006,93,5.1,28,"NA",186,81,5.1e+07,47232776,35093569,12001256,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο άγιος Βασίλης μου 2: Ο ατζαμής των Χριστουγέννων",2002,104,5.8,48,"G",164,70,6.5e+07,172855065,139236327,29008696,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο άγιος Βασίλης μου 3",2006,97,4.9,32,"G",160,67,1.2e+07,110768122,84500122,19504038,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο αδελφός του αϊ-Βασίλη",2007,116,5.7,42,"PG",192,136,1e+08,97838349,72006777,18515473,18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ζουζούνια",1998,95,7.2,78,"G",449,118,1.2e+08,363258859,162798565,291121,14,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Τα μυρμήγκια",1998,83,6.5,73,"PG",354,95,1.05e+08,171757863,90757863,17195160,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Εξολοθρευτές άγιοι",1999,108,7.6,44,"R",1000,120,6e+06,45875,45875,19930,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Hitch, ο μετρ του ζευγαρώματος",2005,118,6.6,58,"NA",451,109,7e+07,371594603,179495555,43142214,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Όταν ο Χάρυ γνώρισε τη Σάλυ",1989,95,7.7,76,"NA",471,101,1.6e+07,93275850,93117425,1094453,17,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Οι τέσσερεις αδελφοί",2005,109,6.8,49,"R",416,113,4.5e+07,92374674,74494381,21176925,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Φαντασία 2000",1999,75,7.1,59,"NA",230,111,8e+07,90874570,60655420,2290525,37,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Το βιβλίο της ζούγκλας 2",2003,72,5.3,38,"G",84,77,2e+07,186303759,47901582,11441733,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Πήτερ Παν 2: Επιστροφή στη χώρα του ποτέ",2002,72,5.8,49,"G",99,80,2e+07,115121981,48430258,11889631,-9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Τα 102 σκυλιά της Δαλματίας",2000,100,4.9,35,"NA",113,61,8.5e+07,183611771,66957026,19883351,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο γκαφατζής της ζούγκλας",1997,92,5.6,53,"PG",153,64,5.5e+07,174463257,105263257,16540791,7,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο γιατρός τρελάθηκε",1998,85,5.4,46,"PG-13",125,37,71500000,294456605,144156605,29014324,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ελευθερώστε τον Γουίλι",1993,112,6.1,79,"PG",113,28,2e+07,153709806,77709806,7868829,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο ποντικομικρούλης 2",2002,77,5.5,66,"PG",106,57,1.2e+08,169956806,64956806,15115152,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο μεγάλος ποντικο-ντετέκτιβ",1986,74,7.1,73,"NA",156,63,1.4e+07,38625550,38625550,3220225,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Το μαύρο καζάνι",1985,80,6.3,59,"PG",208,85,4.4e+07,21289357,21288692,4180110,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Μπερνάρ και Μπιάνκα: Κομμάντος της σωτηρίας",1977,77,6.9,74,"G",133,73,7500000,71215989,71215869,2111582,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Η μεγάλη των μπάτσων σχολή Νο 2",1985,87,5.8,39,"NA",116,29,7600000,55600000,55600000,10675896,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Τρελές περιπέτειες στη Λοξολάνδη",2000,92,4.3,36,"PG",217,44,7.6e+07,35134820,26005820,6814270,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dreamgirls",2006,130,6.6,76,"NA",564,238,7e+07,155456861,103365956,378950,29,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Οι τρεις σωματοφύλακες",2011,110,5.7,35,"PG-13",347,233,7.5e+07,132274484,20374484,8674452,20,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Η DC λεγεώνα από τα σούπερ-κατοικίδια",2022,105,6.8,56,"PG",248,139,9e+07,207557117,93657117,23003441,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lilo & Stitch",2025,108,6.7,53,"NA",865,160,1e+08,1038027526,423778855,146016175,-2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Τα κακά παιδιά",2022,100,6.9,64,"NA",385,142,7e+07,250387888,97459240,23950245,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Minecraft Movie",2025,101,5.6,45,"NA",1500,178,1.5e+08,958287780,424087780,162753003,23,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spider-Man: Ακροβατώντας στο Αραχνο-Σύμπαν",2023,140,8.5,86,"PG",1700,333,1e+08,690824738,381593754,120663589,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Μπάτε σκύλοι αλέστε",2016,86,6.5,61,"PG",378,274,7.5e+07,875698161,368623860,104352905,15,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Yellow Handkerchief",2008,102,6.7,62,"PG-13",49,60,15500000,318623,318623,37296,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camp X-Ray",2014,117,6.8,54,"R",110,79,1e+06,79624,13302,1316,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Η πιο μεγάλη απάτη",2018,108,5.5,55,"R",23,63,2e+06,16754,NA,NA,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ανάμεσα σε τρεις γυναίκες",2007,97,6.4,47,"PG-13",90,61,1e+07,17562071,11052958,4712341,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Στο δρόμο",2012,124,6,56,"R",165,252,2.5e+07,9617377,744296,39550,35,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Karate Kid: Θρύλοι",2025,94,6.3,51,"NA",445,160,4.5e+07,117105466,52547391,20302016,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angry birds: Η ταινία 2",2019,97,6.4,60,"PG",209,112,6.5e+07,147792047,41667116,10354073,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Αρχηγός από κούνια 2: Οικογενειακή υπόθεση",2021,107,5.9,39,"PG",200,82,8.2e+07,146745280,57300280,16000665,21,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Οι αντικαταστάτες",2000,118,6.6,30,"PG-13",308,83,5e+07,50054511,44737059,11039214,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Όπως στον παράδεισο",2005,95,6.7,47,"PG-13",371,115,5.8e+07,102854431,48318130,16408718,13,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Το τέλος της βίας",2005,96,7.4,82,"NA",1200,469,3.2e+07,61385065,31504633,364000,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Επιδρομή από το άπειρον",1953,81,6.5,68,"NA",151,80,8e+05,270,NA,NA,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Σχέδιο 9 από το διάστημα",1958,79,3.9,56,"NA",588,108,60000,812,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soul",2020,100,8,83,"NA",1800,22,1.5e+08,121977511,946154,431840,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lightyear",2022,105,6.1,60,"PG",1100,260,2e+08,226425420,118307188,50577961,7,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο καλόσαυρος",2015,93,6.7,66,"PG",569,347,2e+08,332207671,123087120,39155217,15,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Μπέβερλι Χιλς τσιουάουα",2008,91,4,41,"PG",129,80,2e+07,149292488,94514402,29300465,9,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Διαστημικές περιπέτειες",2015,94,5.8,NA,"PG",15,42,12500000,24604331,6690,6690,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Αεροπλάνα 2: Ιπτάμενοι πυροσβέστες",2014,83,5.9,48,"NA",80,132,5e+07,146965787,59165787,17509407,29,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shelby Oaks",2024,91,5.4,40,"R",217,118,1400000,6618843,4500051,2346918,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ευχή",2023,95,5.5,47,"PG",587,194,2e+08,254997360,63973821,19698228,-3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Oogieloves in the Big Balloon Adventure",2012,88,1.6,32,"G",95,28,2e+07,1065907,1065907,443901,-4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chip 'n Dale: Rescue Rangers",2022,97,6.9,66,"PG",323,130,7e+07,623190,NA,NA,9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
